Archivo,Bib_Corredor,Club / Jersey,Gadgets_Detectados,Nivel_Emocion
696984752_122184317414592376_6333417573977183508_n.jpg,1580,Genérico / Independiente,A smartwatch,Concentrado
696984752_122184317414592376_6333417573977183508_n.jpg,334,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
696984752_122184317414592376_6333417573977183508_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
696984752_122184317414592376_6333417573977183508_n.jpg,33,Genérico / Independiente,A smartwatch,Agotado
696984752_122184317414592376_6333417573977183508_n.jpg,No detectado,Genérico / Independiente,Headphones,Concentrado
696984752_122184317414592376_6333417573977183508_n.jpg,7183,Genérico / Independiente,A smartwatch,Agotado
696984752_122184317414592376_6333417573977183508_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
689027874_122224085210582925_7803148990937532278_n.jpg,1568,Genérico / Independiente,A smartwatch,Concentrado
689027874_122224085210582925_7803148990937532278_n.jpg,1087,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689027874_122224085210582925_7803148990937532278_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
689027874_122224085210582925_7803148990937532278_n.jpg,2049,Genérico / Independiente,A smartwatch,Concentrado
689027874_122224085210582925_7803148990937532278_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
689027874_122224085210582925_7803148990937532278_n.jpg,912,Genérico / Independiente,A smartwatch,Agotado
689027874_122224085210582925_7803148990937532278_n.jpg,686,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689490092_122224087520582925_637298148938362724_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689490092_122224087520582925_637298148938362724_n.jpg,13,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689490092_122224087520582925_637298148938362724_n.jpg,617,Genérico / Independiente,A smartwatch,Agotado
689490092_122224087520582925_637298148938362724_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689490092_122224087520582925_637298148938362724_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
689490092_122224087520582925_637298148938362724_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689477160_122224086782582925_1506629556721679953_n.jpg,1371,Genérico / Independiente,A smartwatch,Agotado
689477160_122224086782582925_1506629556721679953_n.jpg,1674,Genérico / Independiente,A smartwatch,Concentrado
689477160_122224086782582925_1506629556721679953_n.jpg,312,Genérico / Independiente,Headphones,Alta Energía / Positiva
689477160_122224086782582925_1506629556721679953_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
689477160_122224086782582925_1506629556721679953_n.jpg,No detectado,Genérico / Independiente,Sports sunglasses,Concentrado
689477160_122224086782582925_1506629556721679953_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
689477160_122224086782582925_1506629556721679953_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
697777789_122184315986592376_8669616209347974713_n.jpg,No detectado,Genérico / Independiente,Sports sunglasses,Alta Energía / Positiva
697777789_122184315986592376_8669616209347974713_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
697777789_122184315986592376_8669616209347974713_n.jpg,No detectado,Genérico / Independiente,Sports sunglasses,Concentrado
697777789_122184315986592376_8669616209347974713_n.jpg,No detectado,Genérico / Independiente,Sports sunglasses,Concentrado
697777789_122184315986592376_8669616209347974713_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
697777789_122184315986592376_8669616209347974713_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
